Row	oligodendrocytes	microglia	pyramidal_CA1	interneurons	pyramidal_SS	astrocytes_ependymal	endothelial_mural
4931440P22Rik	0	0	0	0	0	1	0
4932438H23Rik	0	0	0	0	0	1	0
4933406I18Rik	0	1	0	0	0	0	0
4933407L21Rik	0	0	0	0	0	1	0
4933409K07Rik_loc2	0	0	0	0	1	0	0
4933409K07Rik_loc3	0	0	0	0	1	0	0
4933409K07Rik_loc4	0	0	0	0	1	0	0
4933426M11Rik	0	0	1	0	0	0	0
5031410I06Rik	1	0	0	0	0	0	0
5031439G07Rik	1	0	0	0	0	0	0
5033411D12Rik	0	0	0	0	0	1	0
5330413P13Rik	0	0	0	0	0	1	0
5330426P16Rik	1	0	0	0	0	0	0
5330434G04Rik	0	0	0	1	0	0	0
5430416O09Rik	0	0	0	0	0	0	1
5430427O19Rik	0	1	0	0	0	0	0
5730577I03Rik	0	0	1	0	0	0	0
6230400D17Rik	0	1	0	0	0	0	0
6330409D20Rik	0	0	0	1	0	0	0
6330416G13Rik	1	0	0	0	0	0	0
6430550D23Rik	0	0	0	0	0	1	0
6430573F11Rik	0	0	0	1	0	0	0
6430584L05Rik	0	0	0	0	1	0	0
6820408C15Rik	0	0	0	0	0	1	0
8430408G22Rik	0	0	0	0	0	0	1
8430431K14Rik	0	0	0	0	0	1	0
9030619P08Rik	0	0	0	0	0	0	1
9230110C19Rik	0	0	0	0	0	1	0
9230114K14Rik	0	0	0	0	0	1	0
9330117O12Rik	1	0	0	0	0	0	0
9330179D12Rik	0	0	0	0	1	0	0
9330188P03Rik	1	0	0	0	0	0	0
9430020K01Rik	0	0	0	0	0	0	1
9630001P10Rik	0	0	0	0	0	1	0
9630013A20Rik	1	0	0	0	0	0	0
9930014A18Rik	0	0	1	0	0	0	0
A230001M10Rik	1	0	0	0	0	0	0
A230009B12Rik	1	0	0	0	0	0	0
A230077H06Rik	0	0	1	0	0	0	0
A330021E22Rik	0	0	0	0	0	1	0
A330049N07Rik	0	0	0	0	0	1	0
A330076H08Rik	0	0	0	1	0	0	0
A330102I10Rik	0	0	0	1	0	0	0
A430107P09Rik	0	0	0	1	0	0	0
A530058N18Rik	0	0	0	1	0	0	0
A630066F11Rik	0	0	0	0	0	1	0
A830009L08Rik	0	0	0	0	1	0	0
A830010M20Rik	0	0	0	0	1	0	0
A830082N09Rik	0	0	0	1	0	0	0
A930006K02Rik	0	0	0	0	0	1	0
A930024E05Rik	0	0	1	0	0	0	0
AA986860	1	0	0	0	0	0	0
AB124611	0	1	0	0	0	0	0
AF251705	0	1	0	0	0	0	0
AF357355	0	0	1	0	0	0	0
AI115009	0	0	1	0	0	0	0
AI504432	0	0	0	1	0	0	0
AI607873	0	1	0	0	0	0	0
AI662270	0	1	0	0	0	0	0
AI854703	0	0	0	1	0	0	0
AK129341	0	0	0	0	0	1	0
AU021092	0	0	0	0	0	0	1
AU023762	0	0	0	0	1	0	0
AW011738	0	0	0	0	0	0	1
AW112010	0	0	0	0	0	0	1
AW495222	0	0	0	0	1	0	0
Aamdc	1	0	0	0	0	0	0
Aass	0	0	0	0	0	1	0
Aatk	1	0	0	0	0	0	0
Abca2	1	0	0	0	0	0	0
Abca4	0	0	0	0	0	1	0
Abca8a	0	0	0	0	0	1	0
Abca9	0	1	0	0	0	0	0
Abcb1a	0	0	0	0	0	0	1
Abcb1b	0	1	0	0	0	0	0
Abcb9	0	0	0	0	0	1	0
Abcc3	0	1	0	0	0	0	0
Abcc6	0	0	0	0	0	0	1
Abcc9	0	0	0	0	0	0	1
Abhd1	0	0	0	0	0	1	0
Abhd15	0	1	0	0	0	0	0
Abhd17c	0	0	1	0	0	0	0
Abhd2	0	0	0	0	0	0	1
Abi1	0	0	1	0	0	0	0
Abi3bp	0	0	0	0	1	0	0
Abl1	1	0	0	0	0	0	0
Ablim1	0	0	0	0	0	0	1
Abtb2	1	0	0	0	0	0	0
Acacb	0	0	0	0	0	0	1
Acad12	0	0	0	0	0	1	0
Acadvl	0	0	0	0	0	1	0
Acat2	1	0	0	0	0	0	0
Accs	0	0	0	0	0	0	1
Ace	0	0	0	0	0	1	0
Acer2	0	0	0	0	0	0	1
Ache	0	0	0	1	0	0	0
Acin1	0	0	0	0	0	0	1
Ackr2	0	0	0	0	0	0	1
Acot1	0	0	0	0	0	1	0
Acot11	0	0	0	0	0	1	0
Acot4	0	0	1	0	0	0	0
Acot5	0	0	0	0	0	1	0
Acot7	0	0	0	1	0	0	0
Acp5	0	1	0	0	0	0	0
Acsbg1	0	0	0	0	0	1	0
Acsl3	0	0	0	0	0	1	0
Acsl6	0	0	0	0	0	1	0
Acss1	0	0	0	0	0	1	0
Acss2	0	0	0	0	0	1	0
Acta2	0	0	0	0	0	0	1
Actl6b	0	0	1	0	0	0	0
Actr2	0	0	1	0	0	0	0
Actr3	0	0	1	0	0	0	0
Acvrl1	0	0	0	0	0	0	1
Ada	0	1	0	0	0	0	0
Adam10	0	0	0	0	0	0	1
Adam33	0	1	0	0	0	0	0
Adamts10	0	0	0	0	0	0	1
Adamts15	0	0	0	0	0	0	1
Adamts16	0	0	0	0	0	0	1
Adamts17	0	0	0	1	0	0	0
Adamts20	0	0	0	0	0	1	0
Adamts7	0	0	1	0	0	0	0
Adamts8	0	0	0	0	0	0	1
Adamtsl1	0	0	0	0	0	0	1
Adar	0	0	0	1	0	0	0
Adck3	0	0	1	0	0	0	0
Adcy2	0	0	0	0	0	1	0
Adcy4	0	0	0	0	0	0	1
Adcy6	0	0	0	0	0	0	1
Adcy7	0	1	0	0	0	0	0
Adcyap1	0	0	0	0	1	0	0
Add2	0	0	1	0	0	0	0
Add3	0	0	0	0	0	1	0
Adh5	1	0	0	0	0	0	0
Adi1	1	0	0	0	0	0	0
Adk	0	0	0	0	0	1	0
Ado	1	0	0	0	0	0	0
Adra1d	0	0	1	0	0	0	0
Adra2c	0	0	1	0	0	0	0
Adrb1	0	0	0	0	1	0	0
Adrb2	0	1	0	0	0	0	0
Adssl1	1	0	0	0	0	0	0
Aebp1	0	0	0	0	0	1	0
Afap1	0	0	0	1	0	0	0
Aff3	0	0	1	0	0	0	0
Agap3	0	0	1	0	0	0	0
Agbl4	0	0	0	0	1	0	0
Agfg2	0	0	1	0	0	0	0
Agl	0	0	0	0	0	1	0
Ago4	0	1	0	0	0	0	0
Agpat3	0	0	0	0	0	1	0
Agpat4	1	0	0	0	0	0	0
Agpat5	0	0	0	0	0	1	0
Agtpbp1	0	0	0	1	0	0	0
Ahcyl1	0	0	0	0	0	1	0
Ahi1	0	0	1	0	0	0	0
Ahr	0	1	0	0	0	0	0
Aif1	0	1	0	0	0	0	0
Aifm2	0	0	0	0	0	1	0
Aim2	0	1	0	0	0	0	0
Airn	0	0	0	0	0	0	1
Ak3	0	0	0	0	0	1	0
Ak7	0	0	0	0	0	1	0
Ak8	0	0	0	0	0	1	0
Akap13	0	0	0	0	0	0	1
Akap6	0	0	0	0	1	0	0
Akap7	0	0	0	1	0	0	0
Akip1	0	0	0	0	0	1	0
Akt2	0	0	0	0	0	1	0
Alas1	0	0	0	0	0	0	1
Aldh7a1	0	0	0	0	0	1	0
Aldh9a1	1	0	0	0	0	0	0
Aldoc	0	0	0	0	0	1	0
Alg2	0	0	0	1	0	0	0
Alk	0	0	0	1	0	0	0
Alms1	0	0	0	0	0	1	0
Alox12b	0	0	1	0	0	0	0
Alox5	0	1	0	0	0	0	0
Alox5ap	0	1	0	0	0	0	0
Aloxe3	0	0	1	0	0	0	0
Alpk1	0	0	0	0	0	1	0
Amdhd2	0	1	0	0	0	0	0
Amer2	0	0	0	0	0	1	0
Amigo2	0	0	0	0	0	0	1
Ampd3	0	0	0	0	0	1	0
Amt	0	0	0	0	0	1	0
Amz1	0	0	1	0	0	0	0
Angpt4	1	0	0	0	0	0	0
Angptl7	0	1	0	0	0	0	0
Ank1	0	0	0	1	0	0	0
Ankrd13a	1	0	0	0	0	0	0
Ankrd13d	0	0	0	0	1	0	0
Ankrd23	0	0	0	0	0	0	1
Ankrd28	1	0	0	0	0	0	0
Ankrd34b	0	0	0	1	0	0	0
Ankrd37	0	0	0	0	0	0	1
Ankrd42	0	0	0	0	0	1	0
Ankrd55	0	0	0	1	0	0	0
Ankrd6	0	0	0	1	0	0	0
Anln	1	0	0	0	0	0	0
Ano1	0	0	0	0	0	0	1
Ano10	1	0	0	0	0	0	0
Ano4	1	0	0	0	0	0	0
Ano5	0	0	1	0	0	0	0
Anxa11	0	0	0	0	0	1	0
Aoc3	0	0	0	0	0	0	1
Ap1b1	0	1	0	0	0	0	0
Ap1s1	0	0	1	0	0	0	0
Ap2b1	0	0	1	0	0	0	0
Ap3b2	0	0	1	0	0	0	0
Ap3m1	1	0	0	0	0	0	0
Ap5z1	1	0	0	0	0	0	0
Apaf1	0	1	0	0	0	0	0
Apba1	0	0	0	1	0	0	0
Apbb2	0	0	0	0	0	0	1
Apcdd1	0	0	0	0	0	0	1
Apeh	0	0	0	0	0	1	0
Aph1c	0	1	0	0	0	0	0
Aplnr	0	0	0	0	0	0	1
Aplp1	1	0	0	0	0	0	0
Apoa1	0	0	0	0	1	0	0
Apobec1	0	1	0	0	0	0	0
Apod	1	0	0	0	0	0	0
Ar	0	0	1	0	0	0	0
Araf	0	0	0	1	0	0	0
Arf1	0	0	1	0	0	0	0
Arf5	0	0	1	0	0	0	0
Arfgap3	1	0	0	0	0	0	0
Arg2	0	0	0	0	1	0	0
Arglu1	0	0	0	0	0	0	1
Arhgap10	0	0	0	0	0	0	1
Arhgap11a	0	1	0	0	0	0	0
Arhgap15	0	0	0	0	1	0	0
Arhgap17	0	1	0	0	0	0	0
Arhgap19	0	1	0	0	0	0	0
Arhgap20	0	0	0	0	1	0	0
Arhgap23	1	0	0	0	0	0	0
Arhgap24	0	0	0	1	0	0	0
Arhgap27	0	0	0	0	0	0	1
Arhgap30	0	1	0	0	0	0	0
Arhgap32	0	0	0	0	1	0	0
Arhgap39	0	0	1	0	0	0	0
Arhgap4	0	1	0	0	0	0	0
Arhgef10	1	0	0	0	0	0	0
Arhgef10l	0	0	0	0	0	1	0
Arhgef15	0	0	0	0	0	0	1
Arhgef28	0	0	1	0	0	0	0
Arhgef5	0	0	0	0	0	0	1
Arhgef7	0	0	0	0	0	0	1
Arhgef9	0	0	1	0	0	0	0
Arid3b	0	0	0	0	0	0	1
Arl15	0	0	1	0	0	0	0
Arl2	1	0	0	0	0	0	0
Arl4a	0	0	0	0	0	0	1
Arl4d	0	0	0	0	1	0	0
Armc3	0	0	0	0	0	1	0
Armcx2	0	0	0	1	0	0	0
Armcx4	0	0	0	1	0	0	0
Arnt2	0	0	0	1	0	0	0
Arpc2	0	0	1	0	0	0	0
Arpc5	0	0	1	0	0	0	0
Arpp19	0	0	0	0	1	0	0
Arpp21	0	0	0	0	1	0	0
Arrb1	0	0	0	1	0	0	0
Arrb2	0	1	0	0	0	0	0
Arrdc3	1	0	0	0	0	0	0
Arsb	0	1	0	0	0	0	0
Arsg	1	0	0	0	0	0	0
Arsj	0	0	1	0	0	0	0
Arvcf	0	0	0	0	0	1	0
Arx	0	0	0	1	0	0	0
Arxes1	0	0	0	1	0	0	0
Asah2	1	0	0	0	0	0	0
Asap1	0	0	0	0	1	0	0
Asap2	0	0	1	0	0	0	0
Asb2	0	0	0	0	0	0	1
Asb4	0	0	0	0	0	0	1
Ascc1	0	0	0	0	0	1	0
Aspa	1	0	0	0	0	0	0
Aspg	0	0	0	0	0	1	0
Asphd2	0	0	1	0	0	0	0
Atat1	1	0	0	0	0	0	0
Atl2	0	0	0	0	0	1	0
Atoh8	0	0	0	0	0	1	0
Atp10b	1	0	0	0	0	0	0
Atp10d	0	0	0	0	0	0	1
Atp11a	1	0	0	0	0	0	0
Atp11c	0	0	0	0	0	0	1
Atp1a1	0	0	0	0	1	0	0
Atp1b3	1	0	0	0	0	0	0
Atp2a2	0	0	0	0	1	0	0
Atp2b2	0	0	0	0	1	0	0
Atp6v1d	0	0	0	0	1	0	0
Atp8b5	0	0	0	0	0	1	0
Axin2	0	0	0	0	0	0	1
B230206H07Rik	1	0	0	0	0	0	0
B230209K01Rik	0	0	0	0	0	1	0
B230216G23Rik	0	0	0	1	0	0	0
B230216N24Rik	0	0	0	0	1	0	0
B230217O12Rik	0	0	0	0	1	0	0
B3galt5	1	0	0	0	0	0	0
B3galtl	0	0	0	0	0	1	0
B3gat1	0	0	1	0	0	0	0
B3gnt2	0	0	0	0	0	0	1
B3gnt9	1	0	0	0	0	0	0
B4galnt1	0	0	1	0	0	0	0
B4galt2	0	0	0	0	1	0	0
B4galt4	0	0	0	0	0	0	1
B4galt5	0	0	0	1	0	0	0
B630019K06Rik	0	0	0	1	0	0	0
B9d1	0	0	0	0	0	1	0
BC005764	0	0	0	1	0	0	0
BC021891	0	0	0	0	0	1	0
BC026585	0	0	0	0	0	1	0
BC028528	0	0	0	0	0	0	1
BC030867	0	0	0	1	0	0	0
BC048507	0	0	1	0	0	0	0
BC048546	0	0	0	0	1	0	0
BC051226	0	0	0	0	1	0	0
BC053749	0	0	0	0	0	0	1
Baalc	0	0	0	0	0	1	0
Bace2	0	0	0	0	0	1	0
Bag3	0	0	0	0	0	0	1
Bag4	0	0	1	0	0	0	0
Bai1	0	0	0	0	1	0	0
Baiap2l2	0	0	0	1	0	0	0
Baiap3	0	0	0	1	0	0	0
Bcap31	1	0	0	0	0	0	0
Bcat1	0	0	0	1	0	0	0
Bcl2a1b	0	1	0	0	0	0	0
Bcl2a1c	0	1	0	0	0	0	0
Bcl6b	0	0	0	0	0	0	1
Bcr	0	0	1	0	0	0	0
Bdh2	0	0	0	0	0	1	0
Bean1	0	0	0	1	0	0	0
Bend3	0	0	0	0	0	0	1
Bet1	1	0	0	0	0	0	0
Bfsp2	1	0	0	0	0	0	0
Bgn	0	0	0	0	0	0	1
Bhlhe22	0	0	1	0	0	0	0
Bicc1	0	0	0	0	0	1	0
Bid	0	1	0	0	0	0	0
Bin2	0	1	0	0	0	0	0
Blcap	0	0	0	1	0	0	0
Blnk	0	1	0	0	0	0	0
Blvra	0	1	0	0	0	0	0
Blvrb	0	1	0	0	0	0	0
Bmp2	0	1	0	0	0	0	0
Bmp3	0	0	0	1	0	0	0
Bmp5	0	0	0	0	0	0	1
Bmp7	0	0	0	0	0	1	0
Bmpr1a	0	0	0	0	0	1	0
Bmpr1b	0	0	0	0	0	1	0
Bpgm	1	0	0	0	0	0	0
Bphl	0	0	0	0	0	1	0
Brd9	0	0	1	0	0	0	0
Bsg	0	0	0	0	0	0	1
Bsn	0	0	0	0	1	0	0
Btbd11	0	0	0	1	0	0	0
Btbd16	1	0	0	0	0	0	0
Btbd2	0	0	0	1	0	0	0
Btbd7	0	0	0	0	0	0	1
Btbd8	0	0	0	0	0	1	0
Btc	1	0	0	0	0	0	0
Btk	0	1	0	0	0	0	0
Bves	0	0	1	0	0	0	0
C030013G03Rik	0	0	0	0	1	0	0
C030023E24Rik	0	0	1	0	0	0	0
C030029H02Rik	1	0	0	0	0	0	0
C030037D09Rik	0	0	0	0	0	1	0
C130074G19Rik	0	0	0	0	0	0	1
C1qa	0	1	0	0	0	0	0
C1qb	0	1	0	0	0	0	0
C1qc	0	1	0	0	0	0	0
C1ql1	0	0	0	1	0	0	0
C1qtnf5	0	0	0	0	0	1	0
C1qtnf7	0	0	0	0	0	0	1
C1rb	0	0	0	0	0	0	1
C1s	0	0	0	0	0	0	1
C230081A13Rik	0	0	0	0	0	0	1
C230091D08Rik	0	0	1	0	0	0	0
C2cd2l	0	0	1	0	0	0	0
C2cd4b	0	0	1	0	0	0	0
C2cd4c	0	0	0	0	1	0	0
C3ar1	0	1	0	0	0	0	0
C5ar1	0	1	0	0	0	0	0
C630020P19Rik	0	0	0	0	1	0	0
C730002L08Rik	0	0	0	0	1	0	0
C77080	0	0	0	0	1	0	0
Cabp1	0	0	0	0	1	0	0
Cacna1a	0	0	0	0	1	0	0
Cacna1e	0	0	1	0	0	0	0
Cacna1i	0	0	0	0	1	0	0
Cacna2d4	1	0	0	0	0	0	0
Cacnb3	0	0	0	0	1	0	0
Cacng5	0	0	0	1	0	0	0
Cacng8	0	0	1	0	0	0	0
Cadm2	0	0	1	0	0	0	0
Cadm3	0	0	0	0	1	0	0
Calb2	0	0	0	1	0	0	0
Calca	0	0	0	1	0	0	0
Calml3	0	0	0	0	1	0	0
Camk1	0	1	0	0	0	0	0
Camk2d	0	0	0	1	0	0	0
Camk2n1	0	0	0	0	1	0	0
Camkk2	0	0	0	0	1	0	0
Camsap3	0	0	1	0	0	0	0
Camta2	0	0	1	0	0	0	0
Capn15	0	0	0	0	0	0	1
Capn2	0	0	0	0	0	1	0
Capn3	0	1	0	0	0	0	0
Capsl	0	0	0	0	0	1	0
Car10	0	0	0	0	1	0	0
Car12	0	0	0	0	0	1	0
Car2	1	0	0	0	0	0	0
Car4	0	0	0	0	0	0	1
Car5b	0	0	0	0	0	1	0
Car8	0	0	0	0	0	1	0
Card10	0	0	0	0	0	0	1
Casc1	0	0	0	0	0	1	0
Casd1	0	0	1	0	0	0	0
Casp1	0	1	0	0	0	0	0
Casp4	0	1	0	0	0	0	0
Casp7	0	0	0	0	0	0	1
Cass4	0	1	0	0	0	0	0
Catsper2	1	0	0	0	0	0	0
Catsperg1	0	0	0	0	0	1	0
Cbr2	0	1	0	0	0	0	0
Cbr3	0	0	0	0	0	1	0
Ccdc103	0	0	0	0	0	1	0
Ccdc108	0	0	0	0	0	1	0
Ccdc109b	0	0	1	0	0	0	0
Ccdc112	0	0	1	0	0	0	0
Ccdc113	0	0	0	0	0	1	0
Ccdc114	0	0	0	0	0	1	0
Ccdc122	0	0	0	0	0	1	0
Ccdc125	0	0	0	0	0	0	1
Ccdc135	0	0	0	0	0	1	0
Ccdc141	0	0	0	0	0	0	1
Ccdc146	0	0	0	0	0	1	0
Ccdc147	0	0	0	0	0	1	0
Ccdc148	0	0	0	0	0	1	0
Ccdc153	0	0	0	0	0	1	0
Ccdc163	1	0	0	0	0	0	0
Ccdc17	0	0	0	0	0	1	0
Ccdc176	0	0	0	0	0	1	0
Ccdc177	0	0	1	0	0	0	0
Ccdc19	0	0	0	0	0	1	0
Ccdc28b	1	0	0	0	0	0	0
Ccdc30	0	0	0	0	0	1	0
Ccdc32	0	0	1	0	0	0	0
Ccdc34	0	0	0	0	0	1	0
Ccdc37	0	0	0	0	0	1	0
Ccdc39	0	0	0	0	0	1	0
Ccdc40	0	0	0	0	0	1	0
Ccdc50	0	1	0	0	0	0	0
Ccdc65	0	0	0	0	0	1	0
Ccdc81	0	0	0	0	0	1	0
Ccdc85b	0	0	1	0	0	0	0
Ccdc87	0	0	0	0	0	1	0
Ccdc88b	0	1	0	0	0	0	0
Ccdc88c	0	0	1	0	0	0	0
Ccdc89	0	0	0	0	0	1	0
Ccdc9	0	1	0	0	0	0	0
Ccdc96	0	0	0	0	0	1	0
Cchcr1	0	0	0	0	0	0	1
Cckbr	0	0	0	0	1	0	0
Ccl12	0	1	0	0	0	0	0
Ccl19_loc1	0	0	0	0	1	0	0
Ccl19_loc2	0	0	0	0	1	0	0
Ccl2	0	1	0	0	0	0	0
Ccl24	0	1	0	0	0	0	0
Ccl27a_loc1	0	0	0	0	1	0	0
Ccl27a_loc2	0	0	0	0	1	0	0
Ccl27b_loc2	0	0	0	0	1	0	0
Ccl3	0	1	0	0	0	0	0
Ccl4	0	1	0	0	0	0	0
Ccl6	0	1	0	0	0	0	0
Ccl7	0	1	0	0	0	0	0
Ccm2l	0	0	0	0	0	0	1
Ccnh	0	0	0	1	0	0	0
Ccnjl	1	0	0	0	0	0	0
Ccno	0	0	0	0	0	1	0
Ccnyl1	1	0	0	0	0	0	0
Ccp110	1	0	0	0	0	0	0
Ccr1	0	1	0	0	0	0	0
Ccr5	0	1	0	0	0	0	0
Ccrn4l	0	0	1	0	0	0	0
Cd109	0	0	0	0	0	1	0
Cd14	0	1	0	0	0	0	0
Cd163	0	1	0	0	0	0	0
Cd200r1	0	1	0	0	0	0	0
Cd209f	0	1	0	0	0	0	0
Cd209g	0	1	0	0	0	0	0
Cd24a	0	0	0	0	0	1	0
Cd2ap	0	0	0	0	0	0	1
Cd300a	0	1	0	0	0	0	0
Cd33	0	1	0	0	0	0	0
Cd34	0	0	0	0	0	0	1
Cd36	0	1	0	0	0	0	0
Cd37	0	1	0	0	0	0	0
Cd40	0	0	0	0	0	0	1
Cd48	0	1	0	0	0	0	0
Cd53	0	1	0	0	0	0	0
Cd55	0	0	0	0	0	1	0
Cd59b	0	0	0	0	0	0	1
Cd68	0	1	0	0	0	0	0
Cd83	0	1	0	0	0	0	0
Cd84	0	1	0	0	0	0	0
Cd86	0	1	0	0	0	0	0
Cdc25b	0	0	1	0	0	0	0
Cdc37l1	1	0	0	0	0	0	0
Cdc40	0	0	1	0	0	0	0
Cdc42ep2	1	0	0	0	0	0	0
Cdc42ep3	0	0	0	0	0	0	1
Cdh18	0	0	0	0	1	0	0
Cdh5	0	0	0	0	0	0	1
Cdh7	0	0	0	1	0	0	0
Cdk17	0	0	1	0	0	0	0
Cdk18	1	0	0	0	0	0	0
Cdkl4	0	0	0	0	0	1	0
Cdkn2b	0	0	0	0	0	0	1
Cdr2	0	0	0	0	0	1	0
Cdr2l	1	0	0	0	0	0	0
Cds1	0	0	1	0	0	0	0
Cds2	0	0	0	1	0	0	0
Cebpa	0	1	0	0	0	0	0
Cecr2	0	0	0	0	0	1	0
Celf1	0	0	1	0	0	0	0
Celf6	0	0	0	1	0	0	0
Celsr1	0	0	0	0	0	1	0
Celsr2	0	0	1	0	0	0	0
Cenpf	0	1	0	0	0	0	0
Cenpo	0	0	0	0	0	1	0
Cenpq	1	0	0	0	0	0	0
Cep110	0	1	0	0	0	0	0
Cep128	0	0	0	0	0	1	0
Cep72	1	0	0	0	0	0	0
Cep85l	0	0	0	0	0	0	1
Cep97	1	0	0	0	0	0	0
Cercam	1	0	0	0	0	0	0
Cers2	1	0	0	0	0	0	0
Ces5a	0	0	0	0	0	0	1
Cetn2	0	0	0	0	0	1	0
Cetn4	0	0	0	0	0	1	0
Cfhr2	0	1	0	0	0	0	0
Cfl2	1	0	0	0	0	0	0
Cfp	0	1	0	0	0	0	0
Ch25h	0	1	0	0	0	0	0
Chadl	1	0	0	0	0	0	0
Chchd10	0	0	0	0	0	1	0
Chd3	0	0	1	0	0	0	0
Chd5	0	0	0	0	0	0	1
Chdh	1	0	0	0	0	0	0
Chek2	0	0	0	0	0	1	0
Chi3l1	0	0	0	0	0	1	0
Chmp1b	1	0	0	0	0	0	0
Chn2	1	0	0	0	0	0	0
Chrd	0	0	1	0	0	0	0
Chrdl1	0	0	0	0	0	1	0
Chrm4	0	0	0	0	1	0	0
Chrm5	0	0	1	0	0	0	0
Chrnb1	0	0	0	0	0	0	1
Chst1	0	0	1	0	0	0	0
Chst11	0	0	0	0	0	1	0
Chst15	0	0	1	0	0	0	0
Chst2	0	0	0	0	0	1	0
Chst3	1	0	0	0	0	0	0
Cib2	0	0	0	1	0	0	0
Cidea	0	0	0	1	0	0	0
Cilp2	0	0	0	1	0	0	0
Cish	0	0	0	0	1	0	0
Ckb	0	0	0	0	0	1	0
Clasrp	1	0	0	0	0	0	0
Clcn5	0	1	0	0	0	0	0
Clcnka	0	0	1	0	0	0	0
Cldn1	0	0	0	0	0	1	0
Cldn10	0	0	0	0	0	1	0
Cldn11	1	0	0	0	0	0	0
Cldn25	1	0	0	0	0	0	0
Cldn26	0	0	0	0	1	0	0
Cldn5	0	0	0	0	0	0	1
Clec10a	0	1	0	0	0	0	0
Clec1a	0	0	0	0	0	0	1
Clec3b	0	0	0	0	0	1	0
Clec4a2	0	1	0	0	0	0	0
Clec4a3	0	1	0	0	0	0	0
Clec4n	0	1	0	0	0	0	0
